classifier,dataset,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
Classifiers.RF,quaternion,52.501734256744385,18,0.049012184143066406,0.5270061728395061,0.519662680611892,0.5246680826840446,0.5270061728395061
Classifiers.RF,quaternion,52.68577694892883,19,0.048011064529418945,0.5289351851851852,0.5217249006224639,0.5256690020474873,0.5289351851851851
Classifiers.GBM,quaternion,743.1989805698395,0,0.029006004333496094,0.6346450617283951,0.6310616183126982,0.6353338666622149,0.6346450617283952
Classifiers.GBM,quaternion,740.2693254947662,1,0.03900909423828125,0.6550925925925926,0.6533233417206579,0.6556839105074239,0.6550925925925926
Classifiers.GBM,quaternion,740.8114550113678,2,0.03800845146179199,0.6485339506172839,0.6464630986899115,0.648807741020944,0.6485339506172839
Classifiers.GBM,quaternion,739.9062523841858,3,0.03800797462463379,0.6520061728395061,0.6492809457675534,0.6510676974690904,0.6520061728395061
Classifiers.GBM,quaternion,740.9374830722809,4,0.037008047103881836,0.6350308641975309,0.6327734262420628,0.6350421181399071,0.635030864197531
Classifiers.GBM,quaternion,740.5643994808197,5,0.038008689880371094,0.6350308641975309,0.6335705721983136,0.6353567372636488,0.6350308641975309
Classifiers.GBM,quaternion,741.2155447006226,6,0.03400778770446777,0.6462191358024691,0.6437354224450096,0.6454147026275997,0.6462191358024691
Classifiers.GBM,quaternion,740.6574196815491,7,0.037008047103881836,0.6319444444444444,0.6284879124523273,0.6303847965398456,0.6319444444444444
Classifiers.GBM,quaternion,740.611409664154,8,0.03900885581970215,0.6358024691358025,0.6321311474038689,0.6335438397095838,0.6358024691358025
Classifiers.GBM,quaternion,740.8914721012115,9,0.03800845146179199,0.6462191358024691,0.644233451129685,0.6459007433002727,0.6462191358024691
Classifiers.GBM,quaternion,742.9169211387634,10,0.0290071964263916,0.6439043209876543,0.6415266196568971,0.6429452945447348,0.6439043209876544
Classifiers.GBM,quaternion,742.5458400249481,11,0.030007600784301758,0.6481481481481481,0.6455681909910592,0.6467425807640191,0.6481481481481483
Classifiers.GBM,quaternion,740.9134757518768,12,0.03700876235961914,0.654320987654321,0.6521830026831945,0.6540395034325621,0.6543209876543209
Classifiers.GBM,quaternion,741.8656888008118,13,0.032007455825805664,0.6477623456790124,0.6458732524106721,0.649430213082537,0.6477623456790124
Classifiers.GBM,quaternion,740.7794468402863,14,0.03400778770446777,0.6539351851851852,0.6518906498381872,0.653622788765617,0.6539351851851851
Classifiers.GBM,quaternion,740.1653065681458,15,0.03900885581970215,0.6597222222222222,0.6586033960749988,0.660344633847195,0.6597222222222222
Classifiers.GBM,quaternion,620.6226117610931,16,0.027006149291992188,0.6381172839506173,0.6358689158096325,0.640219140257819,0.6381172839506174
Classifiers.GBM,quaternion,618.7511932849884,17,0.029006242752075195,0.6400462962962963,0.6371936140458244,0.6390047539938098,0.6400462962962963
Classifiers.GBM,quaternion,619.9314572811127,18,0.02800607681274414,0.6315586419753086,0.6299228807544326,0.6321041017737108,0.6315586419753088
